source,dest,dist
57,מרכז הצעירים,4.010538877171519
57,"מתנ""ס רמות",3.3247864715782125
57,"מתנ""ס נווה זאב",3.299302651006162
57,מתנס נווה נוי,4.8277556294019455
58,"מתנ""ס לוין",2.549728788287516
58,"מתנ""ס נירים",2.3834707944489733
58,"מתנ""ס נעורים",3.0515527626060432
58,"מתנ""ס פאני קפלן",3.171265282481094
58,"מתנ""ס טאובל",4.097438315770579
58,"מתנ""ס - י'א",1.0174272796635397
58,מרכז הצעירים,4.03735134212932
58,"מתנ""ס רמות",3.486541154841858
58,"מתנ""ס נווה זאב",3.2640558807200897
58,מתנס נווה נוי,4.825295083733767
59,"מתנ""ס לוין",2.588086367531792
59,"מתנ""ס נירים",2.4374703931678994
59,"מתנ""ס נעורים",3.0910761907843396
59,"מתנ""ס פאני קפלן",3.223783789618511
59,"מתנ""ס טאובל",4.124261753733971
59,"מתנ""ס - י'א",0.9381231064317396
59,מרכז הצעירים,3.9946582219190057
59,"מתנ""ס רמות",3.5694499468964085
59,"מתנ""ס נווה זאב",3.189758239326803
59,מתנס נווה נוי,4.766015695619793
60,"מתנ""ס לוין",2.4823409839493875
60,"מתנ""ס נירים",2.3275900971506585
60,"מתנ""ס נעורים",2.984990025892916
60,"מתנ""ס פאני קפלן",3.1142221694898455
60,"מתנ""ס טאובל",4.023443725859381
60,"מתנ""ס - י'א",0.9426775030406377
60,מרכז הצעירים,3.947477588960361
60,"מתנ""ס רמות",3.4623465288927027
60,"מתנ""ס נווה זאב",3.184006694350469
60,מתנס נווה נוי,4.738531627783552
